职位,薪水,经验,学历,关键词,工作地址
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
红塔区玉溪红塔万达广场1344
查看地图"
抖音短视频拍摄剪辑及直播运营,5000-6000元,1-3年,大专,"岗位内容：
1. 策划和制定短视频运营的整体方案，包括选题、拍摄、剪辑等。
2. 负责短视频平台的日常运营，管理用户关系和社群运营。
3. 数据分析和监测，根据数据进行调整和优化。
任职要求：
1. 有2年以上互联网短视频运营经验，熟悉短视频平台规则和运作规律。
2. 具备良好的沟通能力和团队协作精神，能够承受工作压力。
3. 熟练使用各类短视频制作软件或工具，具备基本的摄影及剪辑技巧。","工作地点
周口商水县品胜阳城府朗园营销中心
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
汉阳区万达广场(武汉汉阳店)6546
查看地图"
视频剪辑助理,4000-6000元·13薪,经验不限,学历不限,"岗位内容：
1. 负责公司视频、微电影等多媒体制作物的剪辑及后期制作工作。
2. 对剪辑风格、配乐、画面调色方案做出策略建议，以获取更好的制作效果。
3. 利用剪辑手段，将冗长或无关的镜头剪辑掉，突出核心信息，提高制作品质。
4. 整合制作资源，并在时间节点内按要求完成各类视频制作任务。
5. 善于发掘优秀素材，不断创新，提高制作品质，实现预期目标。
任职要求：
1. 熟练使用剪辑软件，有良好的剪辑技巧，3年以上相关工作经验。
2. 拥有敏锐的审美和极强的表现力，熟悉各种影视元素的运用。
3. 具有较高的时间管理能力和责任心，能承受一定的工作压力。
4. 拥有优秀的沟通能力和团队协作精神，能够有效地与导演、平面设计师等协同合作。","工作地点
华龙区万达广场(濮阳店)2
查看地图"
招视频剪辑师/抖音剪辑,3000-5000元,经验不限,学历不限,"工作内容：
1.负责抖音短视频剪辑、编辑、策划。
2.善于分析抖音短视频数据，根据数据及时了解大众爱好。
3.负责和团队一起优化、丰富短视频拍摄形式。
4.完成短视频的选题、策划及脚本创作。
5.熟练运用剪映、AE等软件。
6.年龄18-30岁。底薪3-5K。工作时间早10晚7。单休+法休。","工作地点
威海环翠区云永文化传媒 田村小区A区29-4云永文化传媒
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
重庆大渡口区万达广场(大渡口店)3512
查看地图"
小说推文视频剪辑,150-300元/天,经验不限,学历不限,"主要工作内容:通过提供的素材进行剪辑、制作成视频并发布,剪辑工具一般是用剪映，内容是小说或短剧，有无经验都接受
岗位特点:
1.新人可快速上手
2.有专业老师进行辅导
3.弹性工作，时间自由
4.好上手，老带新，
岗位要求:
1.有一定的剪辑基础，可快速剪辑视频
2.有短视频账号运营经验优先
薪资详情：
薪资计算标准：一天100-200左右
薪资结构：抽成+激励补贴
结算方式：日结
3、收费情况
是否收费：全程免费","工作地点
衡阳石鼓区崇盛国际中心
查看地图"
在家办公剪辑（抖音短视频带货）,8000-13000元,经验不限,学历不限,"居家办公，不受地区限制，没有严格时间限制
主要工作内容为抖音短视频剪辑。亿景传媒会为你出具授权书，借助头部达人直播带货的素材，剪辑成短视频并发布至抖音。","工作地点
枣庄市-薛城区-光明大道4369号505
查看地图"
在家办公剪辑(抖音短视频带货）,8000-12000元,经验不限,学历不限,"支持在家自己剪辑，无需到岗
我们开放达人直播片段授权资源，当前可合作的达人包括:广东夫妇、刘思瑶、竺天天，洛哥，魏老板等
只要掌握剪辑技能，不会我们公司免费培训，配合官方免费授权，就能在家获得收入
我是亿景传媒首席运营，精通短视频带货运营，现直播切片正在火热招募，亿景传媒全程不收取任何费用!","工作地点
开封市-顺河回族区-汴京大道89号
查看地图"
视频拍摄剪辑专员,4000-6000元,3-5年,本科,岗位内容：   1.会AE制作、PR剪辑、PS平面设计，精通剪映 . 其中两项必须要会。    2..平时工作设计剪视频拍摄   3.熟练使用相机拍照，拍视频。   任职要求：     1. 熟练使用剪辑软件，有良好的剪辑技巧，3年以上相关工作经验。  2. 拥有敏锐的审美和极强的表现力，熟悉各种影视元素的运用。3. 具有较高的时间管理能力和责任心，能承受一定的工作压力。4. 拥有优秀的沟通能力和团队协作精神。,"工作地点
银川金凤区翠柳岛B岛-25号楼
查看地图"
在家办公剪辑（抖音短视频带货）,8000-12000元,经验不限,学历不限,"支持在家自己剪辑，无需到岗
我们开放达人直播片段授权资源，当前可合作的达人包括：广东夫妇、刘思瑶、竺天天，洛哥，魏老板等等
只要掌握剪辑技能，配合官方免费授权，就能在家获得收入","工作地点
福州市-福清市-清昌大道105号
查看地图"
短视频编导拍摄剪辑师(J10437),6000-10000元,1-3年,大专,一、岗位职责: 1、短视频拍摄：根据脚本要求，提前准备拍摄设备（相机、稳定器、灯光、麦克风等）和道具，选择合适的拍摄场地；按照拍摄计划完成视频拍摄工作，在拍摄过程中灵活调整拍摄角度、光线和主播状态，确保拍摄素材的完整性和质量，避免出现画面模糊、声音嘈杂、镜头抖动等问题； 2、视频剪辑与后期制作：对拍摄素材进行筛选、整理和剪辑，按照脚本逻辑和平台风格完成视频的剪辑拼接；添加符合视频内容的字幕（确保字幕准确、清晰、美观）、背景音乐（注意音乐版权，选择与视频氛围匹配的音乐）和音效（如掌声、笑声、产品讲解音效等）；对视频进行调色处理，统一视频色调风格，提升画面质感；根据需要制作简单的动画特效（如产品展示动画、标题动画等），增强视频的视觉吸引力； 3、视频审核与优化：完成视频初剪后，提交给直播部门负责人或相关人员审核，根据审核意见对视频进行修改优化，直至满足发布要求；跟踪已发布视频在各平台的播放量、点赞量、评论量、转发量等数据，分析数据背后的原因（如内容主题、剪辑节奏、封面标题等对数据的影响），总结经验，为后续短视频创作提供优化方向； 4、素材管理与设备维护：建立完善的视频素材管理体系，对拍摄的原始素材、剪辑过程中的工程文件和最终成品进行分类存储和备份，确保素材安全，便于后续查找和复用；定期对拍摄设备和剪辑电脑进行检查和维护，及时发现并解决设备故障（如相机镜头损坏、稳定器电量不足、软件崩溃等），保证工作正常开展。 二、任职要求: 1、大专及以上学历，影视制作、新媒体、视觉传达等相关专业优先； 2、具备 1-2 年及以上短视频独立拍剪经验，有直播行业、电商产品或品牌短视频制作经验者可优先考虑，需提供个人作品集（包含至少 3-5 个完整的短视频作品，展示拍摄运镜、剪辑节奏、调色风格等能力）。 3、熟练操作专业相机（如索尼 A7 系列、佳能 R 系列等）、手机云台、手持稳定器、补光灯、麦克风等拍摄设备，能根据不同场景（如室内直播场景、产品特写场景、户外场景）调整光线、构图和拍摄参数，保证画面清晰度、稳定性和美感。 4、精通剪映、Pr、AE 等剪辑软件，能独立完成短视频的素材筛选、剪辑拼接、字幕添加、背景音乐搭配、音效处理、调色、转场设计等全流程工作； 5、熟悉短视频平台（抖音、快手、视频号等）的内容风格和算法偏好，能根据平台特性调整剪辑节奏，打造符合平台用户喜好的作品（如抖音的快节奏、强视觉冲击风格，视频号的生活化、情感化风格）。 6、具备较强的创意策划能力，能结合直播部门的业务需求（如直播预热、产品推广、主播人设打造）构思短视频内容主题和脚本框架； 7、拥有良好的审美能力，对色彩搭配、画面构图、镜头语言有敏锐的把控力，能准确把握当下短视频流行趋势（如卡点视频、剧情反转、沉浸式体验等），并融入到作品创作中。 8、具备良好的沟通协调能力，能与直播团队（主播、运营、策划）高效配合，理解并执行团队的创作需求；有较强的学习能力，愿意主动研究新的拍摄技巧、剪辑工具和平台规则，不断提升作品质量。 三、福利待遇： 1、薪资待遇：6000--10000元/月； 2、常规福利：节假日福利、生日福利、生育餐补、生育津贴、贺仪礼金等； 3、保障类：签订劳动合同，依法办理五险； 4、假期类：法定节假日带薪休假、带薪年假（5-15天）、病假、婚假、丧假、产假、陪产假、孕检假等。,"工作地点
洛龙区洛阳地矿双语学校(伊滨校区)125
查看地图"
短视频脚本编辑,7000-9000元,3-5年,本科,"岗位内容：
1. 负责各类视频素材的筛选、剪辑工作，保证视频质量和创意水准。
2. 重点把握影片的节奏，对影片的剪辑进行创新设计，使之具有一定的观赏性和信息传递性。
3. 完成剪辑工作前，对原始素材进行筛选、分类和标注，为制作顺利进行提供基础条件。
4. 协助团队完成其他制作工作，例如声音的调配、场景的选择等。
任职要求：
1. 熟练掌握剪辑技术，熟悉各种剪辑软件，能够快速完成任务。
2. 具备良好的创新能力和较高的思维活跃度，善于捕捉影片中的亮点和突出部分。
3. 较高的学习能力，能根据项目需求不断学习新技术。
4. 具有团队合作精神和高度的责任心，有良好的沟通能力和表达能力。","工作地点
成都成华区电子科技大学沙河校区
查看地图"
泰安4s店拍摄剪辑,6000-8000元,1-3年,大专,"一、岗位职责​
视频策划与拍摄：根据门店需求及店内活动（新车上市、促销等），策划拍摄方案；负责新车展示、试驾、维修流程、客户采访等拍摄
后期剪辑制作：完成剪辑、调色、配乐、加字幕等，适配抖音、视频号等平台格式，确保内容准确传达 4S 店信息，提升吸引力。​
素材管理与优化：建立视频素材库并归档；分析已发布视频数据，结合市场及竞品情况，提出优化建议。​
跨部门协作：配合销售、市场等部门需求，提供拍摄剪辑支持，沟通解决问题，保障工作按时完成。​
二、任职要求​
学历与经验：大专及以上，影视制作等相关专业优先；1 年以上拍摄剪辑经验，有汽车、4S 店或电商相关经验者优先。​
专业技能：熟练掌握至少一种剪辑软件（如 Premiere Pro），必须会用AI剪辑、PS 做特效与设计；能独立操作拍摄设备（单反、摄像机等）；懂主流视频平台规则，具备构图、色彩感知及节奏感。​
综合素养：热爱汽车行业，了解汽车产品；责任心强、细致，能抗压；沟通协作与学习创新能力佳。​","工作地点
岱岳区iCAR(泰安德瑞店)
查看地图"
线上居家兼职/图文视频编辑/无需经验,300-500元/天,经验不限,学历不限,"职位信息
工作平台：抖音/小红书
工作具体内容：负责公司提供的图片视频发出
工作要求：每天1-3条，时间自由，按单提成，多劳多得
本岗位不收取任何费用","工作地点
郑州市-管城回族区-紫荆山路60号b座908
查看地图"
在家办公剪辑（抖音短视频带货）,8000-13000元,经验不限,学历不限,"居家办公，不受地区限制，没有严格时间限制
主要工作内容为抖音短视频剪辑。亿景传媒会为你出具授权书，借助头部达人直播带货的素材，剪辑成短视频并发布至抖音。","工作地点
宜宾市-翠屏区-翠柏大道东段152号505
查看地图"
短视频拍摄剪辑师,3000-5000元,1-3年,学历不限,"岗位内容：
1. 负责各类视频素材的筛选、剪辑工作，保证视频质量和创意水准。
2. 重点把握影片的节奏，对影片的剪辑进行创新设计，使之具有一定的观赏性和信息传递性。
3. 完成剪辑工作前，对原始素材进行筛选、分类和标注，为制作顺利进行提供基础条件。
4. 协助团队完成其他制作工作，例如声音的调配、场景的选择等。
任职要求：
1. 熟练掌握剪辑技术，熟悉各种剪辑软件，能够快速完成任务。
2. 具备良好的创新能力和较高的思维活跃度，善于捕捉影片中的亮点和突出部分。
3. 较高的学习能力，能根据项目需求不断学习新技术。
4. 具有团队合作精神和高度的责任心，有良好的沟通能力和表达能力。","工作地点
鹤壁浚县河南六鹤药业集团有限公司
查看地图"
抖音短视频剪辑,4000-6000元,1-3年,大专,"岗位职责：
1、根据客户提供的素材，独立完成抖音视频剪辑与发布；
2、负责通过社媒平台发布和推广视频内容；
3、协调制作过程相关的各个环节、流程，及时反馈视频拍摄中的问题。
任职要求：
1、大专及以上学历，可独立进行抖音视频剪辑制作；
2、拥有良好的团队合作精神，能够与团队成员有效沟通和合作；
3、具有高度的工作热情和积极向上的工作态度，能够持续关注和学习最新的流行趋势","工作地点
德州德城区蓝网电商(东汇大厦店)
查看地图"
视频剪辑,4000-6000元,3-5年,大专,"岗位内容：
1. 负责公司视频、微电影等多媒体制作物的剪辑及后期制作工作。
2. 对剪辑风格、配乐、画面调色方案做出策略建议，以获取更好的制作效果。
3. 利用剪辑手段，将冗长或无关的镜头剪辑掉，突出核心信息，提高制作品质。
4. 整合制作资源，并在时间节点内按要求完成各类视频制作任务。
5. 善于发掘优秀素材，不断创新，提高制作品质，实现预期目标。
任职要求：
1. 熟练使用剪辑软件，有良好的剪辑技巧，3年以上相关工作经验。
2. 拥有敏锐的审美和极强的表现力，熟悉各种影视元素的运用。
3. 具有较高的时间管理能力和责任心，能承受一定的工作压力。
4. 拥有优秀的沟通能力和团队协作精神，能够有效地与导演、平面设计师等协同合作。","工作地点
唐山丰南区小稻地村
查看地图"
TikTok影视剪辑,5000-10000元,经验不限,大专,主要是做Tiktok影视剪辑。  岗位职责:  1.负责Tiktok视频剪辑及发布工作，切片/解说/混剪等视频剪辑。  2.需要每天完成规定任务量及发布。  1.工作内容：剪辑影视切片和影视解说视频，涉及电影，电视剧，综艺，动漫等，主要做国外平台。  2. 工资待遇：试用期一个月转正无责底薪5000（无责4000＋1000绩效）+5-20%高提成+奖金（优秀剪辑薪资都能轻松过万）  3.技能要求：需要熟练PR.剪映等电脑剪辑软件，具备良好个人剪辑思路和构思，画面感强网感好，有影视解说剪辑经验优先。  4.工作时间：创造性工作不加班，早九晚六，周日休息。良好工作环境，人性化的管理，和谐的工作氛围。  剪辑能力突出强可晋升部门主管，拿部门收益分红，更好的职业发展，更高的薪资待遇。  一家专业的传媒公司，致力于高质量视频创作，一个有朝气活力的成长形企业，公司整体薪资待遇高于同领域，个人提升和晋升空间大，团队气氛融洽，工作环境好，烧烤聚餐，团建，丰富的公司业余活动。,"工作地点
郑州金水区金成时代广场6号楼8楼808室
查看地图"
餐饮短视频编辑,5000-7000元,1年以下,大专,"岗位职责
1. 独立承担公司品牌短视频全流程剪辑工作，精准把握内容节奏与风格调性。
2. 主导短视频项目全周期制作，从前期策划、实地拍摄到后期剪辑、特效包装实现一站式产出。
3. 紧密配合招商部门需求，高效完成宣传视频的创意拍摄、精细剪辑及平台发布，助力招商推广。
4. 敏锐捕捉短视频平台热点趋势，发挥创意优势策划新颖内容，提升视频传播力与吸引力。
5. 负责短视频账号日常运营，包括内容发布、数据维护、粉丝互动及社群管理，有抖音、快手等平台运营经验者优先。
岗位要求
1. 大专及以上学历，熟练操作PR、剪映等主流视频剪辑软件，有实际剪辑项目经验者优先。
2. 拥有优质视频剪辑作品集，能够直观展现创作能力与审美水平。
3. 具备出色的沟通协调能力，可高效对接跨部门需求；同时拥有优秀的执行力，确保独立完成短视频从策划到落地全流程工作。
4.对短视频热点高度敏感，思维活跃、创意丰富，善于结合热点打造爆款内容。
5. 特别优秀者可适当放宽学历与经验要求，更看重实际创作能力与创新思维。","工作地点
河南省郑州市惠济区文化北路668号河南能源龙城广场
查看地图"
视频剪辑,3000-5000元,1-3年,大专,"工作内容：负责剪辑语音厅作品，主播主页作品
能熟练运用剪映，AE，PS","工作地点
威海环翠区云永文化传媒
查看地图"
视频剪辑包装师,8000-12000元,3-5年,本科,🌟投递请发作品集。 工作内容： a、配合策划/文案完成新媒体视频剪辑/包装/基础调色工作，擅长AE，动画制作，会制作mg动画 b、灵活运用相关AI文生视频，图生视频工具，高效完成素材收集和后期剪辑工作 c、参与短剧项目或线下跟组拍摄，DIT工作 d、配合策划/文案视频小样剪辑工作 e、辅助策划同时进行选题工作 f、参与账号运营，根据后台数据反馈，优化视频内容   g、剪辑内容：活动快闪、宣传片、企宣片、企业账号，创意类包装剪辑         能力要求：   1.有良好的视听审美，镜头感强，阅片量丰富，有创意和想法   2.熟练掌握pr、Ae等剪辑包装软件，   3.熟悉多种视频风格，能独立完成视频的剪辑包装工作   4.三年以上剪辑包装工作经验   5.工作态度端正，认真负责，工作中与人相处融治 ，情商在线   6.在平面设计、调色等方面有特长者，有客户对接经验者优先   7.年龄32岁以内，以经验和项目为主，可适当放宽学历          说明：    1、公司年轻团队不打卡，氛围奈斯，项目导向无领导模式。          2、有轻度加班（看项目），项目导向，无形式主义加班和内耗，完成工作即可。          3、对岗位和生活有一定热情，乐观积极，希望你能开心工作、生活。          4、年轻公司，不画大饼，简单高效。,"工作地点
上海市徐汇区云锦路701号
查看地图"
短视频剪辑及文案编辑,3000-5000元,1-3年,大专,工作内容：1、负责短视频拍摄、剪辑  2、负责文案编辑发布，  3、负责回复粉丝问答及维护关系。  任职要求：  1. 熟练剪映等视频制作软件，有短视频运营经验者优先  2. 具备良好沟通及团队协作能力，有较好的艺术审美能力；,"工作地点
济南济阳区顺义街智能电梯产业园
查看地图"
视频剪辑（单双休+社保）,4000-6000元,1-3年,大专,"岗位职责：
1、短视频的剪辑和发布。独立负责抖音平台短视频的日常剪辑工作，主要处理口播类与混剪类视频。
2、数据复盘与优化。监控已发布视频的核心数据（播放、互动、完播率等），进行定期数据整理与复盘。
3、多账号管理。负责将剪辑完成的视频，分发至多个账号；发布评论与用户及热门视频进行互动。
4、团队协作。与团队共同调整内容方向、剪辑策略及互动方案。
5、完成领导安排的其他工作。
任职要求：
1、大专及以上学历。
2、了解抖音平台短视频规则和逻辑。
3、熟练使用电脑版的剪映。从事过剪辑相关工作。
4、细心负责，思维活跃，创新能力强，有较强的学习能力。","工作地点
郑州中原区冉屯北路9号中机工程大厦六楼
查看地图"
剪辑视频+美工设计,6000-10000元,1-3年,中专/中技,"工作内容:
1、负责产品视频的拍摄、剪辑以及后期制作等工作。
2、负责产品的宣传海报、详情页等设计工作，以及产品图精修。编辑产品程序界面Logo 平面图.对接渲染图事项。
3、负责协助美导完成产品操作介绍视频的拍摄工作以及视频后期剪辑制作。
4、平时学习仪器操作以了解仪器性能，做好资料剪辑视频工作，以及素材的交接与整理工作。
5、负责把控短片后期制作的整体效果。
职位要求:
1、熟悉基础办公软件、拍摄工具及剪辑软件等;熟练掌握 AE、AI、PS 等软件;
2、有剪辑及摄像相关工作经验者优先;
3、对工作细心认真负责，责任感强，良好的沟通能力，服从安排。","工作地点
广东省广州市白云区白沙湖大街7号
查看地图"
电商视频剪辑师,5000-9000元,3-5年,学历不限,"岗位职责：
1、负责公司短视频内容的选题与话题策划，包括脚本编写、台词设计等；
2、拍摄千川素材，剪辑千川信息流广告；
3、研究并关注同类型账号动态，根据市场变化及时制定可行性的调整策略与方案。
任职要求：
1、电商剪辑相关经验1年以上，熟悉千川广告的曝光逻辑，并会拆解、分析爆款千川广告；
2、熟悉抖音电商，熟悉抖音电商规则及热点、熟悉千川素材拍摄、剪辑全流程；
3、具备营销思维，能够快速了解公司产品卖点/痛点。","工作地点
西安雁塔区伟业都市远景24F
查看地图"
短视频剪辑,6000-9000元,经验不限,大专,"岗位职责：1.按照项目目标要求，制作出符合的视频制作和发布。
拍摄：使用相应的设备和技术进行拍摄，如摄像机、相机、稳定器、麦克风等，确保拍摄出高质量的视频素材。
剪辑：将拍摄的素材进行剪辑和处理，包括剪辑、调色、配音、配乐、特效等，制作出符合要求的视频作品。
后期制作：对剪辑后的视频进行后期制作，如添加字幕、特效、转场等，使视频更加精美和专业。
输出：将制作好的视频输出成不同的格式，如 MP4、AVI、MOV 等，以便在不同的平台上播放和传播。
此外，短视频拍摄剪辑师还需要具备以下技能和素质：
熟练掌握视频剪辑软件，如剪映、PR、UA等。
熟悉抖音平台内容风格和调性。
强烈的责任感，执行力，抗压能力强，习惯主动思考。
有创新能力，热爱使用抖音，并有一定抖音视频原创能力。
对配乐及音效有一定的选择鉴赏能力。
短视频拍摄剪辑师的工作不仅限于视频的拍摄和剪辑，还包括与团队成员的沟通协作，如与客户沟通需求，与拍摄团队沟通技术问题，与营销团队协同推广等。","工作地点
金水区河南大学郑州校区明德园八号楼1单元2楼201
查看地图"
急招+信息流剪辑,4000-5000元,1年以下,大专,"【岗位内容】
1.主要负责公司产品的信息流视频剪辑。
2.剪辑产品相关的短视频,围绕产品进行推广引流。
(目前形式以视频为主)
[职位要求]
1、有网感，对视频配图有审美，对短视频节奏有把握能力
2、熟悉新媒体平台，如抖音，快手，今日头条，小红书等更好
3、喜欢钻研，爱好学习，工作态度认真,人品好
4、熟练使用办公软件
5、做过电商剪辑，信息流剪辑
薪资制度:底薪+提成+奖金，综合薪资8000+（具体可面议）
上班时间：9.00-19.00 午休两个小时","工作地点
郑州市金水区农业路东29号海特大厦16楼
查看地图"
视频剪辑师,4000-6000元,经验不限,大专,岗位职责  1、运营IP账号，拍摄+混剪，制造热点话题，完成视频素材整理，剪辑，发布; 2、会用剪映/AE/pr/ps等软件完成剪辑、调色、音频处理、字幕添加、保证视频流畅、风格统一;  3、参与视频脚本策划与创意输出，结合热点提供拍摄/剪辑思路，结合内容主题与平台特性优化剪辑效果，提升传播力;  4、运营抖音/小红书/视频号/B站，负责内容发布、互相维护、粉丝增长，优化视频标题、标签、封面以提升曝光与点击率;  5、有网感，创意反应快，对平台推荐效果跟踪，数据分析，反馈和优化调整;  6、做过IP账号的优先;,"工作地点
长沙开福区马栏山众创园1楼103C室
查看地图"
短视频剪辑/简单易上手,5000-8000元,1年以下,大专,工作内容：1、寻找爆款影视视频，进行二创发布，有流程简单易操作。2、入职有人带，有完善的晋升渠道。工作要求：  1、需要会PR操作  2、思维逻辑清晰，学习能力强薪资福利:  1.无责底薪4.5+提成+奖金。  2.五险、社会保险、 生日红包、节日福利、团建旅游、日榜奖励、月榜奖励、房补、交通补助、年假等各种福利。  工作时间:  朝九晚六 ，单双轮休。公司整体年轻化，没有PUA，氛围轻松无压力。,"工作地点
郑州金水区国弘巨正广场-C座18楼
查看地图"
视频剪辑,4000-5000元,1-3年,大专,"岗位职责：
1.独立负责短视频的拍摄，剪辑以及后期制作，覆盖抖音平台，紧跟平台热点和用户偏好，提升完播率，互动率及转化率
2.以销售转化为核心目标，制作高吸引力，高传播性的视频内容
3.参与账号运营策略讨论，通过数据分析优化视频内容方向
4.拥有三年以上视频剪辑经验
5.有能力着薪资待遇可面谈","工作地点
郑州金水区嘉辰丽景苑8号楼2001
查看地图"
视频剪辑（北京）,8000-12000元,3-5年,大专,"岗位职责
1、独立完成公司视频及图片的剪辑工作，包含产品、工厂、门店等
2、独立完成短视频剪辑，把控音乐、文字、图像等视频元素，保证视频整体效果
3、熟练使用专业设备、拍摄剪辑及后期处理，将拍摄内容进行整合优化，建立素材库并更新
4、对公司员工进行视频拍摄的指导、培训
5、对公司产品的特点、品牌形象进行学习和理解，并通过镜头语言和视频拍摄手法进行展示
6、独立负责视频的包装与特效处理工作，确保视频整体效果符合公司标准
任职要求
1、有家装短视频剪辑经验者优先
2、熟悉主流剪辑软件，能够高效完成视频剪辑、调色、特效等工作
3、熟练掌握短视频的玩法，对短视频的流行趋势以及画面质感具有一定的敏锐度
4、网感好，对爆款内容有灵敏度、熟悉抖音、视频号、小红书等短视频平台的视频偏好，能制作出符合平台调性的高质量视频","工作地点
北京丰台区华夏幸福创新中心-B座5层
查看地图"
房地产视频剪辑策划,4000-5000元,1-3年,大专,"岗位职责
1、视频拍摄与剪辑：负责公司各类视频的拍摄、剪辑和后期制作；
2、创意执行：根据创意脚本或文案进行视频剪辑，能够独立完成视频的处理；
3、市场分析：持续关注短视频市场情况，分析观众的关注点与兴趣点，以提升视频的吸引力。","工作地点
海南省东方市东方市琼西路6号
查看地图"
短剧后期剪辑【平台方＋双休】可带新,8000-12000元,经验不限,大专,"新人小白可带
岗位职责：
1、负责短剧的剪辑制作，把控单集节奏及整剧叙事风格，保证成片质量；
2、独立完成短剧的后期剪辑、音乐音效等工作；
3、对短剧集的表达有自己的观察和见解，熟练掌握短视频产品的视听语言；
4、十足网感、乐感，对男频爽剧、女频虐恋、甜宠等题材有深入研究，具备将素材“讲成故事”的能力，强沟通力。
任职要求：
1、熟练使用PR/达芬奇/剪映等视频剪辑工具
2、有抖音爆款小程序短剧的剪辑经验，熟悉短剧平台视频剪辑要求
3、具备良好的内容创意能力、审美能力，思路清晰、逻辑性强
4、梳理剧本逻辑，并能通过剧本进行二次创意，通过视频创意、镜头运用、画面质感及动画风格等画面传达观众；
5、 配合短剧内容进行优化分析，并给到剪辑方案最优解。
公司本着务实踏实的价值观，每位员工都可以深入参与到自己的项目中，并且按照自己的能力拿到相对应的提成和奖金，晋升空间非常大~","工作地点
郑州管城回族区荣汇国际
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
孝南区万达广场(孝感店)6456
查看地图"
高级视频剪辑+平面设计师,1-1.5万·15薪,3-5年,大专,"岗位职责：
1. 配合部门营销目标，负责短视频平台内容运营，能独立完成拍摄以及视频剪辑。
2. 配合投放岗位制作平面投放物料、落地页切片、营销短视频拍摄与剪辑。
3. 负责并策划部分与品牌、产品调性一致的社群营销平面宣传海报。
任职要求：
1. 本科及以上学历，美术、设计、影视等相关专业优先，有过内容运营经验。
2. 熟练掌握剪映，会熟练使用专业剪辑软件是加分项。
3. 专业能力
视频制作：有从0到1的内容账号运营实战案例，具备专业的剪辑思维与叙事能力，精通镜头语言，能产出超越模板化水平的原创视频内容。如果有纯投放视频制作的经验是加分项；
视觉设计：具备平面制作能力，有线上广告素材、投放页面、社群营销等平面物料的制作的优先。至少要有其中一种经验；
文案撰写：具备选题规划、脚本撰写、原创内容输出的项目经验，至少要有其中两种经验；
其次如果有对运营数据的合理分析是加分项。
4. 具备良好的沟通能力、团队协作精神及强烈的责任心，能高效管理项目进度。
5. 请务必提供个人作品集以供评估！","工作地点
上海浦东新区环球都会广场2号楼3层
查看地图"
